"Product ID","Product Name","Current Price","Original Price","Discount","Stock Status","Sizes","URL","Event Type","Timestamp","Image","Category","Variants"
"112140488","John Lewis Reindeer Fleece Lined Lounge Socks","4.50","15.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-reindeer-fleece-lined-lounge-socks/p112140488","New","2025-09-14 17:52:24","https://media.johnlewiscontent.com/i/JohnLewis/111896960","John Lewis Branded","None"
"111523236","John Lewis Starry Sky Furnishing Fabric","4.50","15.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-starry-sky-furnishing-fabric/p111523236","New","2025-09-14 17:52:26","https://media.johnlewiscontent.com/i/JohnLewis/110822934","John Lewis Branded","None"
"110923656","John Lewis Sail Away Furnishing Fabric, Blue","4.50","15.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-sail-away-furnishing-fabric-blue/p110923656","New","2025-09-14 17:52:30","https://media.johnlewiscontent.com/i/JohnLewis/110822933","John Lewis Branded","None"
"112857602","John Lewis Cotton Modal Blend Jacquard Towelling Shorts, Navy","10.50","35.00","70.00","In Stock","S, XL","https://www.johnlewis.com/john-lewis-cotton-modal-blend-jacquard-towelling-shorts-navy/p112857602","New","2025-09-14 17:52:39","https://media.johnlewiscontent.com/i/JohnLewis/009139278","John Lewis Branded","None"
"3200624","John Lewis Tissue Paper, 5 Sheets","0.60","2.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-tissue-paper-5-sheets/p3200624","New","2025-09-14 17:52:48","https://media.johnlewiscontent.com/i/JohnLewis/236527174","John Lewis Branded","None"
"111754071","John Lewis Stars Metallic Glass Highball, 460ml, Gold","3.00","10.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-stars-metallic-glass-highball-460ml-gold/p111754071","New","2025-09-14 17:52:57","https://media.johnlewiscontent.com/i/JohnLewis/111715472","John Lewis Branded","None"
"6323796","John Lewis Metal Shelf and Hook Unit, Black","12.00","40.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-metal-shelf-and-hook-unit-black/p6323796","New","2025-09-14 17:53:00","https://media.johnlewiscontent.com/i/JohnLewis/109322665","John Lewis Branded","None"
"110247573","John Lewis Klo Furnishing Fabric","10.50","35.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-klo-furnishing-fabric/p110247573","New","2025-09-14 17:53:06","https://media.johnlewiscontent.com/i/JohnLewis/110258539","John Lewis Branded","None"
"113207127","John Lewis Nova Mesh High Cut Mule Espadrille Sandals","20.70","69.00","70.00","In Stock","3, 4, 5, 6, 7, 8","https://www.johnlewis.com/john-lewis-nova-mesh-high-cut-mule-espadrille-sandals/p113207127","New","2025-09-14 17:53:09","https://media.johnlewiscontent.com/i/JohnLewis/009286984","John Lewis Branded","Blackselected, Beige"
"113332494","John Lewis Linen Rich Scarf, Brown","10.50","35.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-linen-rich-scarf-brown/p113332494","New","2025-09-14 17:53:15","https://media.johnlewiscontent.com/i/JohnLewis/112563026","John Lewis Branded","None"
